,0,5,20,model
thresholds,0.0,5.0,20.0,raft_things_mir_batch5.pth
px_count,255401889.0,126195945.0,83171190.0,raft_things_mir_batch5.pth
EPE_sum_msk,0.38,1.64,11.48,raft_things_mir_batch5.pth
EPEu_sum_msk,0.28,1.24,8.24,raft_things_mir_batch5.pth
EPEv_sum_msk,0.19,0.76,6.19,raft_things_mir_batch5.pth
G_mag_L2_masked_sum,1.65,10.45,54.51,raft_things_mir_batch5.pth
G_mag_L2_PIXEL_COUNT,1.0,1.0,1.0,raft_things_mir_batch5.pth
I_L2_sum_m1_msk,0.0,0.0,0.0,raft_things_mir_batch5.pth
Iv_sum_m1_msk,0.0,0.0,0.0,raft_things_mir_batch5.pth
Iu_sum_m1_msk,0.0,0.0,0.0,raft_things_mir_batch5.pth
